,Series_reference,Period,Data_value,Suppressed,STATUS,UNITS,Magnitude,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5,zeros,zeros+1
14706,BDCQ.SEE1035A,2017,11367.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,South Taranaki District,Actual,,,0,0
14707,BDCQ.SEE1035A,2018,11468.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,South Taranaki District,Actual,,,0,0
14708,BDCQ.SEE1035A,2018,11373.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,South Taranaki District,Actual,,,0,0
14709,BDCQ.SEE1035A,2018,11033.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,South Taranaki District,Actual,,,0,0
14710,BDCQ.SEE1035A,2018,11507.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,South Taranaki District,Actual,,,0,0
14711,BDCQ.SEE1035A,2019,11412.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,South Taranaki District,Actual,,,0,0
14712,BDCQ.SEE1035A,2019,11296.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,South Taranaki District,Actual,,,0,0
14713,BDCQ.SEE1035A,2019,11125.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,South Taranaki District,Actual,,,0,0
14714,BDCQ.SEE1035A,2019,11490.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,South Taranaki District,Actual,,,0,0
14715,BDCQ.SEE1035A,2020,11572.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,South Taranaki District,Actual,,,0,0
14716,BDCQ.SEE1035A,2020,11318.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,South Taranaki District,Actual,,,0,0
14717,BDCQ.SEE1035A,2020,11447.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,South Taranaki District,Actual,,,0,0
14718,BDCQ.SEE1035A,2020,11614.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,South Taranaki District,Actual,,,0,0
14719,BDCQ.SEE1035A,2021,11752.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,South Taranaki District,Actual,,,0,0
14720,BDCQ.SEE1035A,2021,11814.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,South Taranaki District,Actual,,,0,0
14721,BDCQ.SEE1035A,2021,11800.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,South Taranaki District,Actual,,,0,0
14722,BDCQ.SEE1035A,2021,12049.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,South Taranaki District,Actual,,,0,0
14723,BDCQ.SEE1035A,2022,12059.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,South Taranaki District,Actual,,,0,0
14724,BDCQ.SEE1035A,2022,12018.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,South Taranaki District,Actual,,,0,0
14725,BDCQ.SEE1035A,2022,11961.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,South Taranaki District,Actual,,,0,0
14726,BDCQ.SEE1035A,2022,12156.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,South Taranaki District,Actual,,,0,0
14727,BDCQ.SEE1035A,2023,12230.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,South Taranaki District,Actual,,,0,0
14728,BDCQ.SEE1035A,2023,12258.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,South Taranaki District,Actual,,,0,0
14729,BDCQ.SEE1035A,2023,12116.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,South Taranaki District,Actual,,,0,0
14730,BDCQ.SEE1035A,2023,12293.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,South Taranaki District,Actual,,,0,0
14731,BDCQ.SEE1035A,2024,12341.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,South Taranaki District,Actual,,,0,0
14732,BDCQ.SEE1035A,2024,12261.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,South Taranaki District,Actual,,,0,0
14733,BDCQ.SEE1035A,2024,11906.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,South Taranaki District,Actual,,,0,0
